themes,solution,epd,rating,rating_dev,to_move,cp_eval,move1cp,nodes,move1multiPV,move1sel_depth,move1w,move1d,move1l,move2cp,move2multiPV,move2sel_depth,move2w,move2d,move2l,move3cp,move3multiPV,move3sel_depth,move3w,move3d,move3l,orig_w,orig_d,orig_l,white_material,black_material,material_balance,total_material,white_P,white_N,white_B,white_R,white_Q,white_K,black_p,black_n,black_b,black_r,black_q,black_k,crushing,hangingPiece,long,middlegame,advantage,endgame,short,rookEndgame,fork,pawnEndgame,mate,mateIn2,operaMate,master,interference,kingsideAttack,veryLong,zugzwang,exposedKing,skewer,mateIn1,oneMove,opening,pin,quietMove,backRankMate,discoveredAttack,sacrifice,bishopEndgame,bodenMate,deflection,morphysMate,smotheredMate,advancedPawn,attraction,promotion,mateIn3,masterVsMaster,superGM,queensideAttack,knightEndgame,cornerMate,defensiveMove,queenEndgame,attackingF2F7,queenRookEndgame,clearance,intermezzo,equality,pillsburysMate,trappedPiece,hookMate,discoveredCheck,xRayAttack,capturingDefender,swallowstailMate,doubleBishopMate,doubleCheck,arabianMate,mateIn4,epauletteMate,enPassant,vukovicMate,dovetailMate,triangleMate,balestraMate,collinearMove,killBoxMate,anastasiaMate,blindSwineMate,castling,mateIn5,underPromotion,collinear,meaningful_L1,meaningful_L2,meaningful_L3,branching_L2,branching_L3,avg_branching,narrow_L1,narrow_L2,narrow_L3,distance_L1,distance_L2,distance_L3,pieces_L1,pieces_L2,pieces_L3,all_pieces_involved,winning_no_mate,possible_L1,possible_L2,possible_L3,all_possible_moves,all_narrow_solutions,tree_size,move_ratio_L1,move_ratio_L2,move_ratio_L3,sum_distance,avg_distance,solved1320,solved1500,solved1750,solved2000,solved2250,solved2500,solved2750,solved3000
crushing hangingPiece long middlegame,f2g3 e6e7 b2b1 b3c1 b1c1 h6c1,r6k/pp2r2p/4Rp1Q/3p4/8/1N1P2b1/PqP3PP/7K w - -,1935,76,1,742,785,2151415,1,62,1000,0,0,-559,2,25,0,0,1000,-627.0,3.0,23.0,0.0,0.0,1000.0,1000,0,0,22,27,-5,49,5,1,0,1,1,1,5,0,1,2,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,2,2,2.0,1.0,1.5,1,0,2,1,2,4,1,1,1,3,1,39,1399,48160,49598,3,5,0.0256410256410256,0.0014295925661186,4.152823920265781e-05,7,1.4,1,1,1,1,1,1,1,1
advantage endgame short,d3d6 f8d8 d6d8 f6d8,5rk1/1p3ppp/pq1Q1b2/8/8/1P3N2/P4PPP/3R2K1 b - -,1414,75,-1,468,470,338132,1,32,1000,0,0,31,2,30,12,988,0,22.0,3.0,34.0,6.0,994.0,0.0,1000,0,0,22,22,0,44,5,1,0,1,1,1,5,0,1,1,1,1,0,0,0,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,2,1.0,2.0,1.5,1,1,0,2,2,9,1,1,2,2,1,33,1403,47263,48699,2,4,0.0303030303030303,0.0007127583749109,4.231639972071176e-05,13,3.25,0,0,1,1,1,1,1,1
advantage endgame rookEndgame short,e7f7 f5e5 e2f1 e5e6,8/5R2/1p2P3/p4r2/P6p/1P3Pk1/4K3/8 b - -,1385,80,-1,243,290,265488,1,31,1000,0,0,-314,2,21,0,0,1000,-473.0,3.0,31.0,0.0,0.0,1000.0,1000,0,0,9,8,1,17,4,0,0,1,0,1,3,0,0,1,0,1,0,0,0,0,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,2,2,2.0,1.0,1.5,1,0,2,1,2,2,1,1,1,2,1,16,281,4156,4453,3,5,0.0625,0.0071174377224199,0.0004812319538017,5,1.0,0,1,1,1,1,1,1,1
advantage middlegame short,b6c5 e2g4 h3g4 d1g4,r2qr1k1/b1p2ppp/p5n1/P1p1p3/4P1n1/B2P2Pb/3NBP1P/RN1QR1K1 w - -,1084,74,1,281,277,94038,1,25,999,1,0,-157,2,23,0,86,914,-167.0,3.0,24.0,0.0,58.0,942.0,999,1,0,37,38,-1,75,6,2,2,2,1,1,7,2,2,2,1,1,0,0,0,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1.0,1.0,1.0,1,1,1,2,1,3,1,1,1,2,1,22,831,21271,22124,3,3,0.0454545454545454,0.0012033694344163,4.701236425179822e-05,6,2.0,0,1,1,1,1,1,1,1
crushing endgame fork short,e4d2 d4e2 g1f1 e2c3,6k1/5p1p/4p3/4q3/3n4/2Q3P1/PP1N1P1P/6K1 b - -,1550,75,-1,549,550,546839,1,38,1000,0,0,-211,2,18,0,1,999,-273.0,3.0,15.0,0.0,0.0,1000.0,1000,0,0,17,15,2,32,5,1,0,0,1,1,3,1,0,0,1,1,1,0,0,0,0,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,2,2,2.0,1.0,1.5,1,0,2,2,2,4,1,1,1,2,1,33,960,28443,29436,3,5,0.0303030303030303,0.0020833333333333,7.031607073796716e-05,8,1.6,1,1,1,1,1,1,1,1
advantage endgame short,c4c2 e4c2 a2a1 c2b1,2Q2bk1/5p1p/p5p1/2p3P1/4B3/7P/qPr2P2/2K4R w - -,1582,75,1,401,441,1035729,1,44,1000,0,0,0,2,17,2,997,1,1500.0,3.0,3.0,0.0,0.0,1000.0,1000,0,0,21,22,-1,43,4,0,1,1,1,1,5,0,1,1,1,1,0,0,0,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1.0,1.0,1.0,1,1,1,2,1,1,1,1,1,3,1,3,61,1752,1816,3,3,0.3333333333333333,0.0163934426229508,0.0005707762557077,4,1.3333333333333333,1,1,1,1,1,1,1,1
crushing endgame long,g6f5 d5c5 c2e4 h5g5 g7h8 g5f6,r4r2/1p3pkp/p7/3R1p1Q/3P4/8/P1q2P2/3R2K1 w - -,2861,108,1,432,437,95739,1,37,1000,0,0,16,2,30,5,994,1,0.0,3.0,20.0,2.0,996.0,2.0,1000,0,0,22,24,-2,46,3,0,0,2,1,1,5,0,0,2,1,1,1,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1.0,1.0,1.0,1,1,1,1,1,1,1,1,1,2,1,36,1161,39722,40919,3,3,0.0277777777777777,0.0008613264427217,2.517496601379588e-05,3,1.0,0,1,0,0,1,1,1,1
crushing endgame long pawnEndgame,g4h5 g6h5 f4f5 e6e5 f5f6 e5f6,8/8/4k1p1/2KpP2P/5P2/8/8/8 b - -,1574,78,-1,398,515,267774,1,22,1000,0,0,-512,2,42,0,0,1000,-538.0,3.0,26.0,0.0,0.0,1000.0,1000,0,0,3,2,1,5,3,0,0,0,0,1,2,0,0,0,0,1,1,0,1,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,2,3,2.0,1.5,1.75,1,0,1,1,2,3,1,1,1,2,1,7,63,448,518,2,6,0.1428571428571428,0.0317460317460317,0.0066964285714285,6,1.0,1,1,1,1,1,1,1,1
endgame mate mateIn2 operaMate short,e5f6 e8e1 g1f2 e1f1,4r3/1k6/pp3P2/1b5p/3R1p2/P1R2P2/1P4PP/6K1 b - -,1376,75,-1,-1500,-1500,56417,1,4,1000,0,0,-519,2,18,0,0,1000,-581.0,3.0,20.0,0.0,0.0,1000.0,1000,0,0,16,12,4,28,6,0,0,2,0,1,4,0,1,1,0,1,0,0,0,0,0,1,1,0,0,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,1.0,0.0,0.5,1,1,0,7,1,0,1,1,0,2,0,26,792,18291,19109,2,2,0.0384615384615384,0.0012626262626262,0.0,8,4.0,0,1,1,1,1,1,1,1
advantage master middlegame short,g5e7 a5c3 b2c3 c6e7,r4rk1/pp2Bppp/2n1b3/q1pp4/8/P1Q2NP1/1PP1PP1P/2KR3R b - -,1414,78,-1,482,482,153171,1,26,1000,0,0,79,2,19,242,758,0,-16.0,3.0,16.0,2.0,987.0,11.0,1000,0,0,32,32,0,64,7,1,1,2,1,1,7,1,1,2,1,1,0,0,0,1,1,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1.0,1.0,1.0,1,1,1,2,1,2,1,1,1,3,1,40,1841,70976,72857,3,3,0.025,0.0005431830526887,1.40892696122633e-05,5,1.6666666666666667,0,1,1,1,1,1,1,1
advantage interference kingsideAttack middlegame veryLong,e4e6 f6f3 g2f3 h5h2 g1f1 h2h3 f1e2 h3e6,5rk1/p5p1/3bRr1p/1Pp4q/3p4/1P1Q1N2/P4PPP/4R1K1 b - -,2071,76,-1,426,466,1682051,1,43,1000,0,0,-171,2,23,0,13,987,-208.0,3.0,19.0,0.0,1.0,999.0,1000,0,0,28,27,1,55,6,1,0,2,1,1,5,0,1,2,1,1,0,0,0,1,1,0,0,0,0,0,0,0,0,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1.0,1.0,1.0,1,1,1,3,4,2,1,1,1,1,1,38,1661,61576,63275,3,3,0.0263157894736842,0.0006020469596628,1.6240093542938807e-05,9,3.0,0,0,1,1,1,1,1,1
mate mateIn2 middlegame short,e8f7 e2e6 f7f8 e6f7,r1bq3r/pp1nbkp1/2p1p2p/8/2BP4/1PN3P1/P3QP1P/3R1RK1 w - -,1575,78,1,1500,1500,53867,1,4,1000,0,0,80,2,24,253,747,0,10.0,3.0,29.0,9.0,988.0,3.0,1000,0,0,31,34,-3,65,6,1,1,2,1,1,6,1,2,2,1,1,0,0,0,1,0,0,1,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,2,1,2.0,0.5,1.25,1,0,1,4,2,2,1,1,1,2,0,40,1384,56000,57424,2,4,0.025,0.0014450867052023,1.785714285714286e-05,8,2.0,1,0,1,1,1,1,1,1
crushing endgame long,f8g8 f5d5 g8f8 d4c5 c2c5 d5c5,6k1/1p4pp/p5n1/5Q2/3BpP2/1P2PP1K/P1q4P/7r w - -,2152,77,1,458,533,2314201,1,43,1000,0,0,-441,2,40,0,0,1000,1500.0,3.0,15.0,0.0,0.0,1000.0,1000,0,0,18,22,-4,40,6,0,1,0,1,1,5,1,0,1,1,1,1,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1.0,1.0,1.0,1,1,1,2,1,3,1,1,1,2,1,31,1026,27632,28689,3,3,0.032258064516129,0.0009746588693957,3.618992472495657e-05,6,2.0,0,0,1,1,1,1,1,1
crushing middlegame short,e3g3 f7f4 e5f4 f8f4,5r1k/5rp1/p7/1b2B2p/1P1P1Pq1/2R3Q1/P3p1P1/2R3K1 b - -,1957,84,-1,381,406,324600,1,34,1000,0,0,33,2,25,16,984,0,33.0,3.0,16.0,15.0,985.0,0.0,1000,0,0,27,26,1,53,5,0,1,2,1,1,4,0,1,2,1,1,1,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,23,1.0,23.0,12.0,1,1,0,3,1,36,1,1,5,5,1,39,1416,55440,56895,2,25,0.0256410256410256,0.0007062146892655,0.0004148629148629,40,1.6,0,1,1,1,1,1,1,1
crushing endgame pawnEndgame short zugzwang,e7d6 d3d4 g6g5 f4g5,8/2p5/3k2p1/1p1P1p2/1P3P2/3K2Pp/7P/8 w - -,944,78,1,441,480,224408,1,30,1000,0,0,-438,2,39,0,0,1000,-443.0,3.0,31.0,0.0,0.0,1000.0,1000,0,0,5,5,0,10,5,0,0,0,0,1,5,0,0,0,0,1,1,0,0,0,0,1,1,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,3,5,3.0,1.6666666666666667,2.333333333333333,1,0,1,1,4,5,1,2,2,2,1,7,42,360,409,2,9,0.1428571428571428,0.0714285714285714,0.0138888888888888,10,1.1111111111111112,0,1,1,1,1,1,1,1
crushing endgame exposedKing long skewer,f2f1 f4f3 f1e1 c2c1 e1d2 c1g1,8/7R/8/5p2/4bk1P/8/2r5/5KR1 b - -,2054,75,-1,508,565,659183,1,45,1000,0,0,21,2,21,6,994,0,14.0,3.0,30.0,4.0,995.0,1.0,1000,0,0,11,9,2,20,1,0,0,2,0,1,1,0,1,1,0,1,1,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1.0,1.0,1.0,1,1,1,1,4,1,1,1,1,2,1,25,430,10490,10945,3,3,0.04,0.0023255813953488,9.532888465204957e-05,6,2.0,0,1,1,1,1,1,1,1
crushing endgame fork master short,a6a5 e5c7 a5b4 c7d8,3R4/8/8/KB2b3/1p6/1P2k3/3p4/8 b - -,1110,82,-1,621,707,135864,1,29,1000,0,0,-200,2,17,0,1,999,-254.0,3.0,19.0,0.0,0.0,1000.0,1000,0,0,9,5,4,14,1,0,1,1,0,1,2,0,1,0,0,1,1,0,0,0,0,1,1,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,2,2,2.0,1.0,1.5,1,0,2,2,2,2,1,1,1,2,1,21,517,9548,10086,3,5,0.0476190476190476,0.0038684719535783,0.0002094679514034,6,1.2,1,1,1,1,1,1,1,1
kingsideAttack mate mateIn1 oneMove opening,d4e6 d6h2,2kr1b1r/p1p2pp1/2pqN3/7p/6n1/2NPB3/PPP2PPP/R2Q1RK1 b - -,716,95,-1,-1500,-1500,50999,1,2,1000,0,0,-42,2,25,1,950,49,-90.0,3.0,21.0,0.0,631.0,369.0,1000,0,0,35,31,4,66,7,2,1,2,1,1,6,1,1,2,1,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,37,1557,59841,61435,0,0,0.0,0.0,0.0,0,0.0,1,1,1,1,1,1,1,1
advantage middlegame short,d8f6 d1h5 h7h6 h5c5,r4rk1/5ppp/1np2q2/p1b5/2p1B3/P7/1P3PPP/R1BQ1RK1 w - -,1823,79,1,385,404,70577,1,23,1000,0,0,38,2,21,29,971,0,-26.0,3.0,18.0,1.0,984.0,15.0,1000,0,0,30,31,-1,61,5,0,2,2,1,1,6,1,1,2,1,1,0,0,0,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,31,57,31.0,1.8387096774193548,16.419354838709676,1,0,27,4,57,145,1,6,5,6,1,40,1705,63812,65557,28,89,0.025,0.0181818181818181,0.0008932489186986,206,2.3146067415730336,0,0,1,1,1,1,1,1
advantage fork long middlegame,e5c4 d3c4 b6c4 d1a4 d8d7 a4c4,r2qk2r/pp2ppbp/1n1p2p1/3P4/2n5/2NBBP1P/PP3P2/R2QK2R w KQkq -,1506,76,1,344,345,272311,1,31,1000,0,0,-197,2,16,0,9,991,-207.0,3.0,21.0,0.0,5.0,995.0,1000,0,0,34,35,-1,69,6,1,2,2,1,1,7,2,1,2,1,1,0,0,1,1,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,6,35,6.0,5.833333333333333,5.916666666666666,1,0,2,1,12,63,1,6,3,6,1,42,1474,58433,59949,3,42,0.0238095238095238,0.0040705563093622,0.0005989766056851,76,1.809523809523809,1,0,1,1,1,1,1,1
crushing endgame exposedKing rookEndgame veryLong,f5e6 f8e8 e6f5 e8e5 f5e5 c4d3 e5d5 d3e3 a6a5 e3f4 d5c4 f4g4,5R2/1p6/p1p1k3/2P1r3/2K3p1/2P1p1P1/1P5P/8 w - -,1845,74,1,303,361,298714,1,50,1000,0,0,22,2,22,6,994,0,10.0,3.0,21.0,3.0,996.0,1.0,1000,0,0,10,10,0,20,5,0,0,1,0,1,5,0,0,1,0,1,1,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,2,2,2.0,1.0,1.5,1,0,2,1,2,6,1,1,1,2,1,22,269,4364,4655,3,5,0.0454545454545454,0.0074349442379182,0.0004582951420714,9,1.8,1,0,0,1,1,1,1,1
advantage endgame pin short,b7b6 d4a1 a7a5 f1c1,2kr3r/p4p2/1p2p2p/1N1p2p1/3Q4/1P1P4/2q2PPP/5RK1 w - -,2627,117,1,319,307,176364,1,25,1000,0,0,-68,2,27,0,883,117,-123.0,3.0,28.0,0.0,182.0,818.0,1000,0,0,22,26,-4,48,5,1,0,1,1,1,7,0,0,2,1,1,0,0,0,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1.0,1.0,1.0,1,1,1,3,1,3,1,1,1,2,1,36,1076,36580,37692,3,3,0.0277777777777777,0.0009293680297397,2.733734281027884e-05,7,2.333333333333333,0,1,1,1,1,1,1,1
advantage middlegame veryLong,c8c7 d4e2 g1h2 a4f4 h2h1 e2g3 f2g3 f4f1,5r1k/pQR3pp/5rp1/3B4/q2n4/7P/P4PP1/5RK1 b - -,1562,75,-1,274,365,211956,1,26,1000,0,0,-128,2,18,0,152,848,-137.0,3.0,19.0,0.0,89.0,911.0,1000,0,0,26,26,0,52,4,0,1,2,1,1,4,1,0,2,1,1,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1.0,1.0,1.0,1,1,1,2,1,4,1,1,1,3,1,43,1763,75358,77164,3,3,0.0232558139534883,0.0005672149744753,1.326999124180578e-05,7,2.333333333333333,0,0,0,1,1,1,1,1
advantage endgame long pin,b6d4 f4f6 d4f2 f6f2 d2f2 g1f2,6k1/pp1r1pp1/2p1p2p/4P2P/3q1Q2/1P4R1/P1Pr1PP1/R5K1 w - -,2391,115,1,424,489,133608,1,29,1000,0,0,-171,2,16,0,11,989,-416.0,3.0,23.0,0.0,0.0,1000.0,1000,0,0,26,26,0,52,7,0,0,2,1,1,7,0,0,2,1,1,0,0,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,30,154,30.0,5.133333333333334,17.566666666666666,1,0,10,2,44,345,1,4,4,4,1,34,1209,39251,40494,11,185,0.0294117647058823,0.0248138957816377,0.0039234669180403,391,2.1135135135135137,0,1,1,1,1,1,1,1
mate mateIn1 middlegame oneMove,h8g8 f1f8,6k1/p1p3pp/4N3/1p6/2q1r1n1/2B5/PP4PP/3R1R1K w - -,585,84,1,1500,1500,16769,1,2,1000,0,0,1500,2,2,1000,0,0,-22.0,3.0,16.0,0.0,994.0,6.0,1000,0,0,20,22,-2,42,4,1,1,2,0,1,5,1,0,1,1,1,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,44,1543,59519,61106,0,0,0.0,0.0,0.0,0,0.0,1,0,0,0,1,0,1,0
crushing endgame long quietMove,d1a4 a2a4 b5a4 b4b5 g8f7 b5b6,6k1/4p1bp/6p1/1p1pP3/qPpPp3/2P1P3/Q2B1KPP/8 w - -,2078,78,1,512,633,1757819,1,32,1000,0,0,2,2,18,2,997,1,-7.0,3.0,22.0,1.0,997.0,2.0,1000,0,0,19,19,0,38,7,0,1,0,1,1,7,0,1,0,1,1,1,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1.0,1.0,1.0,1,1,1,2,1,4,1,1,1,2,1,20,435,8658,9113,3,3,0.05,0.0022988505747126,0.0001155001155001,7,2.333333333333333,0,1,1,1,1,1,1,1
backRankMate endgame mate mateIn2 short,e8e5 d1d8 e5e8 d8e8,6k1/5ppp/r1p5/p1n1rP2/8/2P2N1P/2P3P1/3R2K1 w - -,1118,82,1,1500,1500,55136,1,4,1000,0,0,-90,2,19,0,660,340,-479.0,3.0,19.0,0.0,0.0,1000.0,1000,0,0,13,18,-5,31,5,1,0,1,0,1,5,1,0,2,0,1,0,0,0,0,0,1,1,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,1.0,0.0,0.5,1,1,0,7,3,0,1,1,0,1,0,28,723,17737,18488,2,2,0.0357142857142857,0.0013831258644536,0.0,10,5.0,1,1,1,1,1,1,1,1
crushing discoveredAttack long master middlegame sacrifice,b8c7 b1b7 c7b7 e4f6 e7f6 g2b7,2r2rk1/pbq1bppp/8/8/2p1N3/P1Bn2P1/2Q2PBP/1R3RK1 w - -,1687,75,1,419,402,792251,1,42,1000,0,0,-28,2,19,1,976,23,-129.0,3.0,18.0,0.0,174.0,826.0,1000,0,0,32,33,-1,65,4,1,2,2,1,1,5,1,2,2,1,1,1,0,1,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,2,33,2.0,16.5,9.25,1,0,1,6,2,61,1,1,6,6,1,47,2154,98583,100784,2,36,0.0212765957446808,0.000928505106778,0.0003347433127415,69,1.9166666666666667,1,1,1,1,1,1,1,1
crushing endgame hangingPiece long quietMove,d2e2 f1e2 g3g2 e3e4 f3d4 e2f2,6k1/5p2/4p3/P1B5/2P4P/4Pnp1/Rb2r3/5K2 w - -,2060,79,1,536,563,710911,1,48,1000,0,0,1500,2,5,0,0,1000,1500.0,3.0,5.0,0.0,0.0,1000.0,1000,0,0,12,14,-2,26,4,0,1,1,0,1,3,1,1,1,0,1,1,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,2,6,2.0,3.0,2.5,1,0,1,1,3,6,1,2,2,3,1,16,479,7159,7654,2,9,0.0625,0.0041753653444676,0.0008381058807095,10,1.1111111111111112,0,1,1,1,1,1,1,1
