themes,solution,epd,rating,rating_dev,to_move,cp_eval,move1cp,nodes,move1multiPV,move1sel_depth,move1w,move1d,move1l,move2cp,move2multiPV,move2sel_depth,move2w,move2d,move2l,move3cp,move3multiPV,move3sel_depth,move3w,move3d,move3l,orig_w,orig_d,orig_l,white_material,black_material,material_balance,total_material,white_P,white_N,white_B,white_R,white_Q,white_K,black_p,black_n,black_b,black_r,black_q,black_k,crushing,hangingPiece,long,middlegame,advantage,endgame,short,rookEndgame,fork,pawnEndgame,mate,mateIn2,operaMate,master,interference,kingsideAttack,veryLong,zugzwang,exposedKing,skewer,mateIn1,oneMove,opening,pin,quietMove,backRankMate,discoveredAttack,sacrifice,bishopEndgame,bodenMate,deflection,morphysMate,smotheredMate,advancedPawn,attraction,promotion,mateIn3,masterVsMaster,superGM,queensideAttack,knightEndgame,cornerMate,defensiveMove,queenEndgame,attackingF2F7,queenRookEndgame,clearance,intermezzo,equality,pillsburysMate,trappedPiece,hookMate,discoveredCheck,xRayAttack,capturingDefender,swallowstailMate,doubleBishopMate,doubleCheck,arabianMate,mateIn4,epauletteMate,enPassant,vukovicMate,dovetailMate,triangleMate,balestraMate,collinearMove,killBoxMate,anastasiaMate,blindSwineMate,castling,mateIn5,underPromotion,collinear,meaningful_L1,meaningful_L2,meaningful_L3,branching_L2,branching_L3,avg_branching,narrow_L1,narrow_L2,narrow_L3,distance_L1,distance_L2,distance_L3,pieces_L1,pieces_L2,pieces_L3,all_pieces_involved,winning_no_mate,possible_L1,possible_L2,possible_L3,all_possible_moves,all_narrow_solutions,tree_size,move_ratio_L1,move_ratio_L2,move_ratio_L3,sum_distance,avg_distance,solved1320,solved1500,solved1750,solved2000,solved2250,solved2500,solved2750,solved3000
advantage endgame rookEndgame short,f2g1 f4g3 g1f1 f5g4,3R4/3P4/8/5p2/5kPp/8/3r2P1/6K1 b - -,2133,75,-1,307,403,533077,1,57,1000,0,0,12,2,24,3,996,1,-391.0,3.0,22.0,0.0,0.0,1000.0,1000,0,0,8,7,1,15,3,0,0,1,0,1,2,0,0,1,0,1,0,0,0,0,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1.0,1.0,1.0,1,1,1,1,1,1,1,1,1,2,1,20,239,4385,4644,3,3,0.05,0.00418410041841,0.0002280501710376,3,1.0,0,0,1,1,1,1,1,1
endgame mate mateIn2 short,b4d4 g5g6 f7f6 a8f8,R7/1p3kp1/2pK3p/3p1PP1/3r2nP/8/1P6/8 w - -,880,97,1,1500,1500,61127,1,4,1000,0,0,-234,2,22,0,0,1000,-237.0,3.0,20.0,0.0,0.0,1000.0,1000,0,0,9,13,-4,22,4,0,0,1,0,1,5,1,0,1,0,1,0,0,0,0,0,1,1,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,1.0,0.0,0.5,1,1,0,1,1,0,1,1,0,2,0,23,426,8543,8992,2,2,0.0434782608695652,0.0023474178403755,0.0,2,1.0,0,0,1,1,1,1,1,1
endgame mate mateIn1 oneMove,f8f6 f5h7,7k/1pq3p1/2p2r1p/3pPQ2/1p1P4/7P/1rB4K/5R2 w - -,829,83,1,1500,1500,75833,1,2,1000,0,0,-438,2,19,0,0,1000,-549.0,3.0,25.0,0.0,0.0,1000.0,1000,0,0,20,25,-5,45,3,0,1,1,1,1,6,0,0,2,1,1,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,29,784,22790,23603,0,0,0.0,0.0,0.0,0,0.0,1,1,1,1,1,1,1,1
clearance endgame mate mateIn2 pin sacrifice short,b1b6 d5f7 f8f7 d2d8,5rk1/5ppp/1r6/3Qp3/2B1P3/2q3P1/3R1PKP/8 w - -,1335,92,1,1500,1500,38402,1,4,1000,0,0,-109,2,17,0,357,643,-167.0,3.0,22.0,0.0,13.0,987.0,1000,0,0,21,23,-2,44,4,0,1,1,1,1,4,0,0,2,1,1,0,0,0,0,0,1,1,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,2,1,2.0,0.5,1.25,1,0,1,2,2,5,1,2,1,3,0,37,1407,51291,52735,2,4,0.027027027027027,0.0014214641080312,1.949659784367628e-05,9,2.25,0,1,1,1,1,1,1,1
advantage discoveredAttack endgame fork long,g7g6 h5e5 h8g8 e4d5 e7d5 e5e1,5r1k/4n2p/1p4p1/pP5Q/P2pB2K/6P1/2P4P/4q3 w - -,1734,74,1,233,251,123013,1,35,1000,0,0,-576,2,25,0,0,1000,-765.0,3.0,23.0,0.0,0.0,1000.0,1000,0,0,17,22,-5,39,5,0,1,0,1,1,5,1,0,1,1,1,0,0,1,0,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1.0,1.0,1.0,1,1,1,3,1,1,1,1,1,3,1,28,1014,24263,25305,3,3,0.0357142857142857,0.0009861932938856,4.121501875283353e-05,5,1.6666666666666667,0,1,1,1,1,1,1,1
crushing endgame long pawnEndgame quietMove,f4f5 d5e5 h4h5 h7h6 g4g5 h6g5,8/6pp/8/3k1P2/2p3PP/2K5/8/8 b - -,2608,106,-1,426,492,280943,1,18,1000,0,0,42,2,27,21,979,0,40.0,3.0,24.0,19.0,981.0,0.0,1000,0,0,3,3,0,6,3,0,0,0,0,1,3,0,0,0,0,1,1,0,1,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,2,5,2.0,2.5,2.25,1,0,0,1,2,5,1,1,2,2,1,9,70,697,776,1,8,0.1111111111111111,0.0285714285714285,0.0071736011477761,8,1.0,1,1,0,1,1,1,1,1
advantage defensiveMove opening pin short,f6e4 g5g6 d8b6 g1h2,r2q1rk1/p3bpp1/2pp2b1/4p1Q1/4n3/1B3N1P/PPP3P1/R1B2RK1 w - -,1881,76,1,237,233,154418,1,22,999,1,0,-211,2,20,0,4,996,-328.0,3.0,21.0,0.0,0.0,1000.0,1000,0,0,33,34,-1,67,5,1,2,2,1,1,6,1,2,2,1,1,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,3,31,3.0,10.333333333333334,6.666666666666667,1,0,2,1,6,65,1,1,6,6,1,40,1108,43847,44995,3,35,0.025,0.0027075812274368,0.0007070038999247,72,2.057142857142857,0,1,1,1,1,1,1,1
advantage attraction fork long middlegame sacrifice,f3g5 d8g5 c1g5 h4f3 g1g2 f3g5,r2qk3/5p1r/p1p1p3/1p1pP1N1/P1nP2Pn/2P3B1/2P2P2/R1QR2K1 b q -,1419,76,-1,319,306,131650,1,36,1000,0,0,-134,2,34,0,134,866,-350.0,3.0,20.0,0.0,0.0,1000.0,1000,0,0,32,31,1,63,7,1,1,2,1,1,6,2,0,2,1,1,0,0,1,1,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1.0,1.0,1.0,1,1,1,3,2,2,1,1,1,2,1,38,1077,40594,41709,3,3,0.0263157894736842,0.000928505106778,2.4634182391486427e-05,7,2.333333333333333,0,1,1,1,1,1,1,1
crushing endgame rookEndgame short trappedPiece,g3g4 f2f3 g4g5 f4g5,8/5p2/5pk1/8/4PPr1/8/5K2/7R w - -,1852,76,1,443,550,160156,1,36,1000,0,0,3,2,15,2,997,1,1.0,3.0,22.0,1.0,998.0,1.0,1000,0,0,7,7,0,14,2,0,0,1,0,1,2,0,0,1,0,1,1,0,0,0,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1.0,1.0,1.0,1,1,1,1,1,1,1,1,1,3,1,21,178,2745,2944,3,3,0.0476190476190476,0.0056179775280898,0.0003642987249544,3,1.0,1,1,1,1,1,1,1,1
crushing endgame long quietMove,g7g5 d2d3 h6g7 d3h7 g7f6 h7f7,6B1/ppp5/7k/6pp/6q1/8/Pb1Q1P1P/5K2 w - -,2355,82,1,623,671,1620725,1,57,1000,0,0,0,2,8,2,996,2,0.0,3.0,5.0,2.0,996.0,2.0,1000,0,0,15,17,-2,32,3,0,1,0,1,1,5,0,1,0,1,1,1,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1.0,1.0,1.0,1,1,1,1,1,4,1,1,1,1,1,31,1008,27210,28249,3,3,0.032258064516129,0.0009920634920634,3.6751194413818446e-05,6,2.0,0,0,0,1,1,1,1,1
