iter	Passed	Remaining
414	3052	4302
415	3058	4293
416	3066	4286
417	3073	4278
418	3080	4271
419	3086	4262
420	3093	4254
421	3100	4246
422	3107	4238
423	3114	4230
424	3121	4222
425	3127	4214
426	3135	4207
427	3142	4199
428	3149	4191
429	3155	4183
430	3163	4175
431	3170	4168
432	3176	4159
433	3183	4151
434	3190	4143
435	3197	4135
436	3203	4127
437	3210	4119
438	3217	4111
439	3224	4103
440	3231	4096
441	3238	4087
442	3245	4080
443	3252	4072
444	3259	4064
445	3266	4057
446	3273	4049
447	3280	4041
448	3286	4033
449	3294	4026
450	3300	4017
451	3307	4009
452	3314	4001
453	3320	3993
454	3327	3985
455	3334	3977
456	3341	3970
457	3348	3963
458	3355	3955
459	3362	3947
460	3369	3939
461	3376	3931
462	3382	3923
463	3389	3915
464	3396	3907
465	3403	3899
466	3410	3891
467	3416	3883
468	3424	3876
469	3430	3868
470	3437	3860
471	3444	3853
472	3451	3845
473	3458	3837
474	3465	3829
475	3472	3822
476	3479	3815
477	3486	3807
478	3493	3799
479	3500	3792
480	3507	3784
481	3514	3776
482	3521	3769
483	3528	3761
484	3535	3753
485	3542	3746
486	3548	3738
487	3555	3730
488	3562	3722
489	3569	3715
490	3576	3707
491	3583	3699
492	3590	3692
493	3597	3684
494	3604	3677
495	3611	3669
496	3618	3661
497	3625	3654
498	3634	3649
499	3642	3642
500	3649	3635
501	3657	3628
502	3664	3620
503	3671	3612
504	3677	3605
505	3685	3597
506	3691	3589
507	3699	3582
508	3705	3574
509	3712	3567
510	3719	3559
511	3726	3551
512	3733	3544
513	3740	3536
514	3747	3528
515	3754	3521
516	3760	3513
517	3767	3505
518	3774	3498
519	3781	3490
520	3788	3482
521	3795	3475
522	3801	3467
523	3808	3459
524	3815	3452
525	3822	3444
526	3829	3437
527	3836	3429
528	3842	3421
529	3849	3413
530	3856	3406
531	3864	3399
532	3871	3391
533	3878	3384
534	3884	3376
535	3891	3369
536	3898	3361
537	3905	3353
538	3912	3346
539	3918	3338
540	3926	3331
541	3933	3323
542	3940	3316
543	3946	3308
544	3953	3300
545	3960	3293
546	3967	3285
547	3974	3278
548	3981	3270
549	3988	3263
550	3995	3255
551	4002	3248
552	4009	3240
553	4015	3232
554	4022	3225
555	4029	3217
556	4036	3210
557	4043	3203
558	4050	3195
559	4057	3188
560	4064	3180
561	4071	3173
562	4078	3165
563	4085	3158
564	4091	3150
565	4098	3142
566	4105	3135
567	4112	3127
568	4120	3120
569	4126	3113
570	4133	3105
571	4140	3098
572	4147	3090
573	4154	3083
574	4160	3075
575	4167	3067
576	4174	3060
577	4181	3052
578	4187	3045
579	4194	3037
580	4201	3030
581	4208	3022
582	4215	3015
583	4222	3007
584	4229	3000
585	4236	2992
586	4242	2985
587	4249	2977
588	4257	2970
589	4263	2962
590	4270	2955
591	4277	2947
592	4284	2940
593	4290	2932
594	4298	2925
595	4304	2917
596	4311	2910
597	4318	2903
598	4325	2895
599	4332	2888
600	4339	2880
601	4346	2873
602	4352	2865
603	4359	2858
604	4366	2850
605	4372	2843
606	4379	2835
607	4386	2828
608	4393	2820
609	4400	2813
610	4407	2805
611	4414	2798
612	4421	2791
613	4428	2783
614	4434	2776
615	4441	2768
616	4448	2761
617	4455	2754
618	4462	2746
619	4469	2739
620	4476	2732
621	4483	2724
622	4490	2717
623	4496	2709
624	4503	2702
625	4510	2694
626	4517	2687
627	4524	2680
628	4531	2672
629	4538	2665
630	4545	2658
631	4551	2650
632	4558	2643
633	4565	2635
634	4574	2629
635	4585	2624
636	4597	2620
637	4611	2616
638	4620	2610
639	4628	2603
640	4639	2598
641	4647	2591
642	4654	2584
643	4662	2577
644	4670	2570
645	4677	2563
646	4684	2556
647	4692	2548
648	4699	2541
649	4707	2534
650	4714	2527
651	4721	2520
652	4728	2512
653	4736	2505
654	4743	2498
655	4750	2491
656	4757	2483
657	4765	2476
658	4773	2469
659	4781	2462
660	4788	2455
661	4795	2448
662	4802	2441
663	4809	2433
664	4816	2426
665	4823	2419
666	4830	2411
667	4838	2404
668	4846	2397
669	4853	2390
670	4860	2383
671	4868	2376
672	4876	2369
673	4886	2363
674	4893	2356
675	4902	2349
676	4908	2342
677	4915	2334
678	4922	2327
679	4929	2319
680	4936	2312
681	4942	2304
682	4949	2297
683	4956	2289
684	4963	2282
685	4970	2274
686	4976	2267
687	4983	2260
688	4990	2252
689	4997	2245
690	5004	2237
691	5011	2230
692	5017	2222
693	5024	2215
694	5032	2208
695	5039	2201
696	5046	2193
697	5052	2186
698	5059	2178
699	5066	2171
700	5072	2163
701	5080	2156
702	5086	2149
703	5093	2141
704	5100	2134
705	5107	2127
706	5114	2119
707	5121	2112
708	5128	2105
709	5135	2097
710	5142	2090
711	5149	2082
712	5156	2075
713	5163	2068
714	5170	2060
715	5177	2053
716	5184	2046
717	5191	2038
718	5198	2031
719	5205	2024
720	5212	2016
721	5218	2009
722	5225	2002
723	5232	1994
724	5239	1987
725	5246	1979
726	5253	1972
727	5260	1965
728	5266	1957
729	5274	1950
730	5280	1943
731	5287	1936
732	5294	1928
733	5301	1921
734	5308	1913
735	5315	1906
736	5322	1899
737	5329	1891
738	5335	1884
739	5342	1877
740	5349	1869
741	5356	1862
742	5362	1854
743	5369	1847
744	5376	1840
745	5383	1832
746	5390	1825
747	5396	1818
748	5404	1811
749	5411	1803
750	5417	1796
751	5424	1789
752	5431	1781
753	5438	1774
754	5445	1767
755	5452	1759
756	5459	1752
757	5466	1745
758	5473	1737
759	5480	1730
760	5486	1723
761	5493	1715
762	5501	1708
763	5508	1701
764	5514	1694
765	5521	1686
766	5528	1679
767	5535	1672
768	5542	1664
769	5549	1657
770	5556	1650
771	5563	1643
772	5570	1635
773	5577	1628
774	5584	1621
775	5596	1615
776	5605	1608
777	5616	1602
778	5626	1596
779	5637	1589
780	5649	1584
781	5660	1578
782	5668	1570
783	5675	1563
784	5682	1556
785	5688	1548
786	5696	1541
787	5702	1534
788	5709	1526
789	5716	1519
790	5723	1512
791	5730	1504
792	5736	1497
793	5743	1490
794	5750	1482
795	5757	1475
796	5764	1468
797	5771	1460
798	5778	1453
799	5785	1446
800	5792	1439
801	5799	1431
802	5806	1424
803	5812	1417
804	5819	1409
805	5827	1402
806	5833	1395
807	5841	1388
808	5847	1380
809	5854	1373
810	5861	1365
811	5867	1358
812	5875	1351
813	5882	1344
814	5889	1336
815	5895	1329
816	5902	1322
817	5909	1314
818	5915	1307
819	5922	1300
820	5929	1292
821	5936	1285
822	5943	1278
823	5950	1270
824	5957	1263
825	5964	1256
826	5971	1249
827	5978	1241
828	5985	1234
829	5992	1227
830	5999	1220
831	6006	1212
832	6013	1205
833	6019	1198
834	6026	1190
835	6033	1183
836	6040	1176
837	6046	1168
838	6054	1161
839	6061	1154
840	6069	1147
841	6076	1140
842	6083	1132
843	6090	1125
844	6096	1118
845	6104	1111
846	6111	1103
847	6118	1096
848	6125	1089
849	6132	1082
850	6139	1074
851	6146	1067
852	6153	1060
853	6160	1053
854	6167	1045
855	6174	1038
856	6181	1031
857	6187	1024
858	6194	1016
859	6201	1009
860	6208	1002
861	6215	995
862	6222	987
863	6229	980
864	6235	973
865	6242	965
866	6250	958
867	6256	951
868	6263	944
869	6270	936
870	6277	929
871	6283	922
872	6290	915
873	6298	907
874	6305	900
875	6312	893
876	6318	886
877	6325	878
878	6332	871
879	6338	864
880	6346	857
881	6352	849
882	6359	842
883	6366	835
884	6373	828
885	6380	820
886	6387	813
887	6394	806
888	6401	799
889	6408	792
890	6415	784
891	6421	777
892	6428	770
893	6435	762
894	6442	755
895	6449	748
896	6455	741
897	6462	734
898	6469	726
899	6477	719
900	6483	712
901	6490	705
902	6497	697
903	6504	690
904	6511	683
905	6517	676
906	6525	669
907	6531	661
908	6538	654
909	6545	647
910	6552	640
911	6559	632
912	6569	625
913	6576	618
914	6583	611
915	6590	604
916	6597	597
917	6604	589
918	6611	582
919	6618	575
920	6625	568
921	6632	561
922	6639	553
923	6645	546
924	6652	539
925	6659	532
926	6666	524
927	6673	517
928	6680	510
929	6687	503
930	6694	496
931	6701	488
932	6708	481
933	6715	474
934	6722	467
935	6728	460
936	6736	452
937	6742	445
938	6749	438
939	6756	431
940	6762	424
941	6769	416
942	6776	409
943	6783	402
944	6790	395
945	6796	387
946	6803	380
947	6810	373
948	6817	366
949	6824	359
950	6831	351
951	6837	344
952	6844	337
953	6851	330
954	6858	323
955	6865	315
956	6872	308
957	6878	301
958	6885	294
959	6892	287
